formula,surface_facet,adsorbate,E_clean_slab_eV,E_slab_with_h_eV,E_h2_eV,ΔGH_eV,descriptor_eV,source,status,timestamp
Mo2N,(100),H,-75.91875604352603,-78.85014525113397,-6.438412987227499,0.28781728600581413,0.28781728600581413,GPAW_LDA,completed,2026-02-12T08:25:48.069891
Mo2N,(100)_dopIr,H,-73.84210182193044,-76.42207511041913,-6.438412987227499,0.6392332051250618,0.6392332051250618,GPAW_LDA,completed,2026-02-12T08:39:22.719454
Mo2N,(100)_dopNi,H,-72.02605828155177,-74.37409706655093,-6.438412987227499,0.8711677086145881,0.8711677086145881,GPAW_LDA,completed,2026-02-12T08:56:10.691323
Mo2N,(100)_dopPd,H,-70.08548513222877,-72.34893568189625,-6.438412987227499,0.9557559439462677,0.9557559439462677,GPAW_LDA,completed,2026-02-12T09:15:07.559246
Mo2N,(100)_dopPt,H,-72.09054599687806,-74.47834739283326,-6.438412987227499,0.8314050976585561,0.8314050976585561,GPAW_LDA,completed,2026-02-12T09:34:37.728797
Mo2N,(100)_dopRu,H,-73.8975538206442,-76.5216155866761,-6.438412987227499,0.5951447275818493,0.5951447275818493,GPAW_LDA,completed,2026-02-12T09:53:19.304020
Mo2N,(100)_vacMo,H,-65.37633059109932,-66.976161421162,-6.438412987227499,1.6193756635510637,1.6193756635510637,GPAW_LDA,completed,2026-02-12T10:11:12.947112
Mo2N,(100)_vacN,H,-75.91875604352603,-78.85014525113397,-6.438412987227499,0.28781728600581413,0.28781728600581413,GPAW_LDA,completed,2026-02-12T10:24:05.970152
Mo2N,(110),H,-75.91875604352603,-78.85014525113397,-6.438412987227499,0.28781728600581413,0.28781728600581413,GPAW_LDA,completed,2026-02-12T10:37:23.567994
Mo2N,(110)_dopIr,H,-73.84210182193044,-76.42207511041913,-6.438412987227499,0.6392332051250618,0.6392332051250618,GPAW_LDA,completed,2026-02-12T10:50:55.734698
Mo2N,(110)_dopNi,H,-72.02605828155177,-74.37409706655093,-6.438412987227499,0.8711677086145881,0.8711677086145881,GPAW_LDA,completed,2026-02-12T11:07:39.820772
Mo2N,(110)_dopPd,H,-70.08548513222877,-72.34893568189625,-6.438412987227499,0.9557559439462677,0.9557559439462677,GPAW_LDA,completed,2026-02-12T11:26:37.872846
Mo2N,(110)_dopPt,H,-72.09054599687806,-74.47834739283326,-6.438412987227499,0.8314050976585561,0.8314050976585561,GPAW_LDA,completed,2026-02-12T11:46:30.154621
Mo2N,(110)_dopRu,H,-73.8975538206442,-76.5216155866761,-6.438412987227499,0.5951447275818493,0.5951447275818493,GPAW_LDA,completed,2026-02-12T12:04:48.726469
Mo2N,(110)_vacMo,H,-65.37633059109932,-66.976161421162,-6.438412987227499,1.6193756635510637,1.6193756635510637,GPAW_LDA,completed,2026-02-12T12:22:48.922042
Mo2N,(110)_vacN,H,-75.91875604352603,-78.85014525113397,-6.438412987227499,0.28781728600581413,0.28781728600581413,GPAW_LDA,completed,2026-02-12T12:35:47.555288
Mo2N,(111),H,-75.91875604352603,-78.85014525113397,-6.438412987227499,0.28781728600581413,0.28781728600581413,GPAW_LDA,completed,2026-02-12T12:49:10.967222
Mo2N,(111)_dopIr,H,-73.84210182193044,-76.42207511041913,-6.438412987227499,0.6392332051250618,0.6392332051250618,GPAW_LDA,completed,2026-02-12T13:02:39.626496
Mo2N,(111)_dopNi,H,-72.02605828155177,-74.37409706655093,-6.438412987227499,0.8711677086145881,0.8711677086145881,GPAW_LDA,completed,2026-02-12T13:19:36.387490
Mo2N,(111)_dopPd,H,-70.08548513222877,-72.34893568189625,-6.438412987227499,0.9557559439462677,0.9557559439462677,GPAW_LDA,completed,2026-02-12T13:38:40.870104
Mo2N,(111)_dopPt,H,-72.09054599687806,-74.47834739283326,-6.438412987227499,0.8314050976585561,0.8314050976585561,GPAW_LDA,completed,2026-02-12T13:58:32.875915
Mo2N,(111)_dopRu,H,-73.8975538206442,-76.5216155866761,-6.438412987227499,0.5951447275818493,0.5951447275818493,GPAW_LDA,completed,2026-02-12T14:16:48.348355
Mo2N,(111)_vacMo,H,-65.37633059109932,-66.976161421162,-6.438412987227499,1.6193756635510637,1.6193756635510637,GPAW_LDA,completed,2026-02-12T14:34:43.047210
Mo2N,(111)_vacN,H,-75.91875604352603,-78.85014525113397,-6.438412987227499,0.28781728600581413,0.28781728600581413,GPAW_LDA,completed,2026-02-12T14:47:27.636951
MoP,(100),H,-54.95167178883216,-57.46990575618905,-6.438412987227499,0.7009725262568578,0.7009725262568578,GPAW_LDA,completed,2026-02-12T15:00:59.201002
MoP,(110),H,-54.95167178883216,-57.46990575618905,-6.438412987227499,0.7009725262568578,0.7009725262568578,GPAW_LDA,completed,2026-02-12T15:05:32.161580
MoP,(111),H,-54.95167178883216,-57.46990575618905,-6.438412987227499,0.7009725262568578,0.7009725262568578,GPAW_LDA,completed,2026-02-12T15:09:55.963369
MoS2,(100),H,-89.5345049758144,-90.92508891798404,-6.438412987227499,1.8286225514441083,1.8286225514441083,GPAW_LDA,completed,2026-02-12T15:14:16.671452
MoS2,(100)_vacS,H,-83.1712575484978,-84.30564777938487,-6.438412987227499,2.0848162627266857,2.0848162627266857,GPAW_LDA,completed,2026-02-12T15:21:27.313950
MoS2,(110),H,-89.5345049758144,-90.92508891798404,-6.438412987227499,1.8286225514441083,1.8286225514441083,GPAW_LDA,completed,2026-02-12T15:30:19.110583
MoS2,(110)_vacS,H,-83.1712575484978,-84.30564777938487,-6.438412987227499,2.0848162627266857,2.0848162627266857,GPAW_LDA,completed,2026-02-12T15:37:31.084022
MoS2,(111),H,-89.5345049758144,-90.92508891798404,-6.438412987227499,1.8286225514441083,1.8286225514441083,GPAW_LDA,completed,2026-02-12T15:46:18.167500
MoS2,(111)_vacS,H,-83.1712575484978,-84.30564777938487,-6.438412987227499,2.0848162627266857,2.0848162627266857,GPAW_LDA,completed,2026-02-12T15:53:32.310185
MoS2,edge_Mo,H,-245.5969049613591,-247.0328124707719,-6.438412987227499,1.7832989842009495,1.7832989842009495,GPAW_LDA,completed,2026-02-12T16:02:15.515279
MoS2,edge_S,H,-246.3975541147006,-247.69989989784085,-6.438412987227499,1.9168607104734958,1.9168607104734958,GPAW_LDA,completed,2026-02-12T16:35:46.558310
MoSe2,(100),H,-83.05477287371099,-84.51648225157638,-6.438412987227499,1.75749711574836,1.75749711574836,GPAW_LDA,completed,2026-02-12T17:07:40.031509
MoSe2,(100)_vacSe,H,-77.0125648219356,-78.15773673196325,-6.438412987227499,2.0740345835860934,2.0740345835860934,GPAW_LDA,completed,2026-02-12T17:14:47.090203
MoSe2,(110),H,-83.05477287371099,-84.51648225157638,-6.438412987227499,1.75749711574836,1.75749711574836,GPAW_LDA,completed,2026-02-12T17:23:03.206967
MoSe2,(110)_vacSe,H,-77.0125648219356,-78.15773673196325,-6.438412987227499,2.0740345835860934,2.0740345835860934,GPAW_LDA,completed,2026-02-12T17:30:10.460273
MoSe2,(111),H,-83.05477287371099,-84.51648225157638,-6.438412987227499,1.75749711574836,1.75749711574836,GPAW_LDA,completed,2026-02-12T17:38:23.371282
MoSe2,(111)_vacSe,H,-77.0125648219356,-78.15773673196325,-6.438412987227499,2.0740345835860934,2.0740345835860934,GPAW_LDA,completed,2026-02-12T17:45:37.800276
MoSe2,edge_Mo,H,-227.52596405031832,-228.998215047683,-6.438412987227499,1.7469554962490674,1.7469554962490674,GPAW_LDA,completed,2026-02-12T17:53:55.545459
MoSe2,edge_Se,H,-228.62460065072986,-229.97872218399988,-6.438412987227499,1.865084960343732,1.865084960343732,GPAW_LDA,completed,2026-02-12T18:25:28.701737
Ni,Mo2N_interface_(100),H,-371.92533962788804,-375.35920742177416,-6.438412987227499,-0.21466130027237273,-0.21466130027237273,GPAW_LDA,completed,2026-02-12T18:56:52.449385
Ni,Mo2N_interface_(111),H,-378.9845252035147,-382.0398992314269,-6.438412987227499,0.16383246570155574,0.16383246570155574,GPAW_LDA,completed,2026-02-13T02:07:07.386989
