formula,surface_facet,adsorbate,E_clean_slab_eV,E_slab_with_h_eV,E_h2_eV,ΔGH_eV,descriptor_eV,source,adsorption_site,h2_source,relaxed,status,timestamp,stage,basis,xc,kpts,relax_steps,fmax,site_search,mpi_ranks,omp_threads,restart_used
MoS2,(110),H,-286.7611783731959,-289.3747097449049,-5.152636936046707,-0.0372129036856763,-0.0372129036856763,GPAW_LDA,top_3,cache,True,completed,2026-05-06T14:03:54.131008,screening,sz,LDA,"2,2,1",3,0.15,basic,16,11,False
Mo2C,(110)_sheet,H,,,,,,GPAW_LDA,,cache,True,failed,2026-05-06T14:08:32.976394,screening,sz,LDA,"2,2,1",3,0.15,basic,16,11,False
Mo2C,edge_C,H,-455.4217609734648,-459.46935036922696,-5.152636936046707,-1.4712709277387916,-1.4712709277387916,GPAW_LDA,top_5,cache,True,completed,2026-05-06T15:38:40.854408,screening,sz,LDA,"2,2,1",3,0.15,basic,16,11,False
Mo2C,edge_C_large,H,,,,,,GPAW_LDA,,cache,True,failed,2026-05-06T16:18:59.939239,screening,sz,LDA,"2,2,1",3,0.15,basic,16,11,False
Mo2C,edge_Mo,H,-483.6073443380448,-487.6949135666479,-5.152636936046707,-1.5112507605797618,-1.5112507605797618,GPAW_LDA,top_2,cache,True,completed,2026-05-06T16:32:36.520809,screening,sz,LDA,"2,2,1",3,0.15,basic,16,11,False
Mo2C,edge_Mo_large,H,,,,,,GPAW_LDA,,cache,True,failed,2026-05-06T17:14:57.190507,screening,sz,LDA,"2,2,1",3,0.15,basic,16,11,False
Mo2N,(111),H,-297.1520739577757,-300.72465622184615,-5.152636936046707,-0.9962637960470802,-0.9962637960470802,GPAW_LDA,top_4,cache,True,completed,2026-05-06T17:29:24.909127,screening,sz,LDA,"2,2,1",3,0.15,basic,16,11,False
Mo2N,(111)_vac2Mo,H,-280.2966398176009,-283.7161721112193,-5.152636936046707,-0.8432138255950776,-0.8432138255950776,GPAW_LDA,top_1,cache,True,completed,2026-05-06T17:38:59.212799,screening,sz,LDA,"2,2,1",3,0.15,basic,16,11,False
Mo2N,(111)_vac2N,H,-297.1520739577757,-300.72465622184615,-5.152636936046707,-0.9962637960470802,-0.9962637960470802,GPAW_LDA,top_4,cache,True,completed,2026-05-06T17:45:31.634018,screening,sz,LDA,"2,2,1",3,0.15,basic,16,11,False
Mo2N,(111)_vacN,H,-297.1520739577757,-300.72465622184615,-5.152636936046707,-0.9962637960470802,-0.9962637960470802,GPAW_LDA,top_4,cache,True,completed,2026-05-06T17:55:11.273341,screening,sz,LDA,"2,2,1",3,0.15,basic,16,11,False
