formula,surface_facet,adsorbate,E_clean_slab_eV,E_slab_with_h_eV,E_h2_eV,ΔGH_eV,descriptor_eV,source,adsorption_site,h2_source,relaxed,status,timestamp,stage,basis,xc,kpts,relax_steps,fmax,site_search,mpi_ranks,omp_threads,restart_used
MoB,edge_B,H,3500.5401716558345,3499.6875002840798,-6.557687608125613,2.426172432308111,2.426172432308111,MACE-MP-0_small,top_1,computed,True,completed,2026-05-05T16:21:45.913157,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
MoS2,(100),H,-314.64941923418195,-318.70576201757086,-6.557687608125613,-0.7774989793261073,-0.7774989793261073,MACE-MP-0_small,top_1,cache,True,completed,2026-05-05T16:23:03.649040,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
MoS2,edge_Mo,H,-228.6221220387019,-231.6168711674115,-6.557687608125613,0.2840946753532063,0.2840946753532063,MACE-MP-0_small,top_4,cache,True,completed,2026-05-05T16:23:23.818594,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
MoS2,edge_S,H,-228.46377202678318,-231.45362404511053,-6.557687608125613,0.2889917857354516,0.2889917857354516,MACE-MP-0_small,top_4,cache,True,completed,2026-05-05T16:23:31.674681,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(100),H,-731.5917983615163,-735.3550327217614,-6.557687608125613,-0.48439055618225835,-0.48439055618225835,MACE-MP-0_small,top_2,cache,True,completed,2026-05-05T16:23:50.084969,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(100)_dopAg,H,-725.5747930668625,-729.3499013366942,-6.557687608125613,-0.49626446576885597,-0.49626446576885597,MACE-MP-0_small,top_4,cache,True,completed,2026-05-05T16:24:55.742603,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(100)_dopAu,H,-726.3125259542016,-730.0900638310139,-6.557687608125613,-0.49869407274948285,-0.49869407274948285,MACE-MP-0_small,top_4,cache,True,completed,2026-05-05T16:25:59.167771,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(100)_dopIr,H,-730.1621916501467,-734.8855739545961,-6.557687608125613,-1.4445385003865812,-1.4445385003865812,MACE-MP-0_small,top_1,cache,True,completed,2026-05-05T16:27:14.496590,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(100)_dopNi,H,-727.2025954435219,-731.1388773564627,-6.557687608125613,-0.657438108877979,-0.657438108877979,MACE-MP-0_small,top_1,cache,True,completed,2026-05-05T16:28:29.947475,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(100)_dopPd,H,-727.7998751424814,-731.6424756798937,-6.557687608125613,-0.5637567333494888,-0.5637567333494888,MACE-MP-0_small,top_1,cache,True,completed,2026-05-05T16:29:52.692889,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(100)_dopPt,H,-728.5607406885119,-732.6040581743704,-6.557687608125613,-0.7644736817956317,-0.7644736817956317,MACE-MP-0_small,top_1,cache,True,completed,2026-05-05T16:30:57.585849,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(100)_dopRu,H,-730.5494885708919,-735.041652354705,-6.557687608125613,-1.2133199797503056,-1.2133199797503056,MACE-MP-0_small,top_1,cache,True,completed,2026-05-05T16:32:11.112649,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(100)_sheet,H,-2926.3671934460885,-2930.130415815132,-6.557687608125613,-0.4843785649806267,-0.4843785649806267,MACE-MP-0_small,top_2,cache,True,completed,2026-05-05T16:33:27.518191,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(100)_vac2C,H,-731.5917983615163,-735.3550327217614,-6.557687608125613,-0.48439055618225835,-0.48439055618225835,MACE-MP-0_small,top_2,cache,True,completed,2026-05-05T16:38:31.669449,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(100)_vac2Mo,H,-714.0615844798061,-717.8327576389416,-6.557687608125613,-0.49232935507270836,-0.49232935507270836,MACE-MP-0_small,top_1,cache,True,completed,2026-05-05T16:39:53.819052,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(100)_vacC,H,-731.5917983615163,-735.3550327217614,-6.557687608125613,-0.48439055618225835,-0.48439055618225835,MACE-MP-0_small,top_2,cache,True,completed,2026-05-05T16:41:16.683419,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(100)_vacMo,H,-722.5657509414185,-726.347788943257,-6.557687608125613,-0.5031941977756804,-0.5031941977756804,MACE-MP-0_small,top_3,cache,True,completed,2026-05-05T16:42:41.214119,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(110),H,-726.9237957366935,-731.1676374213074,-6.557687608125613,-0.9649978805511199,-0.9649978805511199,MACE-MP-0_small,bridge_center,cache,True,completed,2026-05-05T16:44:05.695980,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(110)_dopAg,H,-720.8616692801934,-725.1239360087158,-6.557687608125613,-0.9834229244595707,-0.9834229244595707,MACE-MP-0_small,bridge_center,cache,True,completed,2026-05-05T16:45:50.318292,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(110)_dopAu,H,-721.5178511450277,-725.4596678353628,-6.557687608125613,-0.6629728862722248,-0.6629728862722248,MACE-MP-0_small,top_centroid,cache,True,completed,2026-05-05T16:47:42.227128,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(110)_dopIr,H,-724.8744600090221,-729.4799289859101,-6.557687608125613,-1.326625172825199,-1.326625172825199,MACE-MP-0_small,top_2,cache,True,completed,2026-05-05T16:49:19.824583,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(110)_dopNi,H,-722.2918478282263,-726.3260495406935,-6.557687608125613,-0.7553579084043593,-0.7553579084043593,MACE-MP-0_small,top_2,cache,True,completed,2026-05-05T16:51:14.527069,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(110)_dopPd,H,-722.6727240422214,-726.9466959509754,-6.557687608125613,-0.9951281046911862,-0.9951281046911862,MACE-MP-0_small,bridge_center,cache,True,completed,2026-05-05T16:52:54.946574,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(110)_dopPt,H,-723.2035346601597,-727.2177069308066,-6.557687608125613,-0.7353284665840891,-0.7353284665840891,MACE-MP-0_small,top_centroid,cache,True,completed,2026-05-05T16:54:31.545437,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(110)_dopRu,H,-725.0425983588266,-729.6673983958082,-6.557687608125613,-1.3459562329187764,-1.3459562329187764,MACE-MP-0_small,top_2,cache,True,completed,2026-05-05T16:56:20.819559,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(110)_sheet,H,-2907.695182946797,-2911.194718156411,-6.557687608125613,-0.22069140555108957,-0.22069140555108957,MACE-MP-0_small,top_3,cache,True,completed,2026-05-05T16:58:09.662143,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(110)_vac2C,H,-726.9237957366935,-731.1676374213074,-6.557687608125613,-0.9649978805511199,-0.9649978805511199,MACE-MP-0_small,bridge_center,cache,True,completed,2026-05-05T17:03:33.666095,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(110)_vac2Mo,H,-710.0444463970402,-714.0874894823687,-6.557687608125613,-0.7641992812656571,-0.7641992812656571,MACE-MP-0_small,bridge_center,cache,True,completed,2026-05-05T17:05:17.834461,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(110)_vacC,H,-726.9237957366935,-731.1676374213074,-6.557687608125613,-0.9649978805511199,-0.9649978805511199,MACE-MP-0_small,bridge_center,cache,True,completed,2026-05-05T17:06:10.530306,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(110)_vacMo,H,-718.4891203059575,-722.5271338203355,-6.557687608125613,-0.7591697103152018,-0.7591697103152018,MACE-MP-0_small,bridge_center,cache,True,completed,2026-05-05T17:07:55.659129,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(111),H,-720.6912465502786,-726.2029717698523,-6.557687608125613,-2.2328814155108847,-2.2328814155108847,MACE-MP-0_small,top_4,cache,True,completed,2026-05-05T17:09:11.899866,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(111)_dopAg,H,-720.6912465502786,-726.2029717698523,-6.557687608125613,-2.2328814155108847,-2.2328814155108847,MACE-MP-0_small,top_4,cache,True,completed,2026-05-05T17:10:43.891347,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(111)_dopAu,H,-720.6912465502786,-726.2029717698523,-6.557687608125613,-2.2328814155108847,-2.2328814155108847,MACE-MP-0_small,top_4,cache,True,completed,2026-05-05T17:12:14.350012,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(111)_dopIr,H,-720.6912465502786,-726.2029717698523,-6.557687608125613,-2.2328814155108847,-2.2328814155108847,MACE-MP-0_small,top_4,cache,True,completed,2026-05-05T17:13:47.112737,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(111)_dopNi,H,-720.6912465502786,-726.2029717698523,-6.557687608125613,-2.2328814155108847,-2.2328814155108847,MACE-MP-0_small,top_4,cache,True,completed,2026-05-05T17:15:12.758413,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(111)_dopPd,H,-720.6912465502786,-726.2029717698523,-6.557687608125613,-2.2328814155108847,-2.2328814155108847,MACE-MP-0_small,top_4,cache,True,completed,2026-05-05T17:16:44.819492,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(111)_dopPt,H,-720.6912465502786,-726.2029717698523,-6.557687608125613,-2.2328814155108847,-2.2328814155108847,MACE-MP-0_small,top_4,cache,True,completed,2026-05-05T17:18:13.674665,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(111)_dopRu,H,-720.6912465502786,-726.2029717698523,-6.557687608125613,-2.2328814155108847,-2.2328814155108847,MACE-MP-0_small,top_4,cache,True,completed,2026-05-05T17:19:43.261208,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(111)_sheet,H,-2882.7649862011385,-2888.2767115697807,-6.557687608125613,-2.23288156457934,-2.23288156457934,MACE-MP-0_small,top_3,cache,True,completed,2026-05-05T17:21:07.302357,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
Mo2C,(111)_vac2C,H,-705.2622699872841,-710.7772733683818,-6.557687608125613,-2.236159577034893,-2.236159577034893,MACE-MP-0_small,top_1,cache,True,completed,2026-05-05T17:27:40.113716,stage0,mace_small,MACE-MP-0,"1,1,1",30,0.05,basic,1,32,False
